,Unnamed: 0,Star_name,Distance,Mass,Radius
173,173,2MASSI J2104149-103736,62.0,7.090647,0.0009736797600000001
174,174,PSO J318.5−22,80.0,0.6679594999999999,0.00146051964
175,175,HB 2124-4228,113.0,9.659721999999999,0.00115505148
176,176,2MASS J21392676+0220226,32.1,4.727098,0.00091640448
177,177,2MASS J21481628+4003593,26.3,5.651965,0.0009450421200000001
179,179,2MASSW J2206450-421721,93.0,2.260786,0.0012696020400000002
180,180,2MASSW J2208136+292121,154.0,2.7746009999999997,0.00134596908
181,181,2MASSW J2224438-015852,38.0,6.268542999999999,0.0009450421200000001
182,182,2MASS J22282889-4310262,35.0,4.316046,0.00089731272
183,183,2MASS J22373255+3922398,64.0,7.5016989999999995,0.00099277152
184,184,2MASSW J2244316+204343,56.0,1.233156,0.00123141852
185,185,2MASS J23224684-3133231,56.0,2.466312,0.00132687732
186,186,2MASS J23225299-6151275,148.0,1.7469709999999998,0.00151779492
187,187,2MASS J23515044-2537367,67.0,9.043144,0.0011073220799999999
188,188,2MASSI J2356547-155310,74.0,8.221039999999999,0.0010405009200000002
226,226,WISE 0410+1502,20.0,0.616578,0.00111686796
230,230,WISE 0458+6434A,35.9,1.541445,0.0040092696
231,231,WISE 0458+6434B,35.9,1.0276299999999998,0.0036274344
285,285,WISE 1405+5534,25.3,3.08289,0.00082094568
